                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.2769,                0.90574,                 1.6061,                0.84494,                0.60178,                0.76061,                 0.6645,                 1.2448,                 1.5666,                 1.6113,              0.0001924,              0.0001924,              0.0001924
                     90,                 1.2816,                0.87443,                  1.612,                0.69229,                0.72818,                0.73011,                0.63876,                 1.2258,                 1.5909,                 1.6064,             0.00019194,             0.00019194,             0.00019194
                     91,                 1.2453,                0.85067,                 1.6261,                0.71314,                0.75038,                0.76404,                0.66025,                 1.2404,                 1.5583,                 1.6152,             0.00019148,             0.00019148,             0.00019148
                     92,                 1.2842,                0.92221,                 1.6144,                0.70406,                0.70415,                0.73447,                0.64342,                 1.2351,                 1.6817,                 1.6177,             0.00019102,             0.00019102,             0.00019102
                     93,                 1.2328,                0.87371,                 1.6069,                0.69053,                0.69326,                0.76086,                0.66399,                 1.2453,                  1.685,                 1.6139,             0.00019056,             0.00019056,             0.00019056
                     94,                 1.2542,                0.85662,                 1.6023,                0.67707,                0.69909,                0.77416,                0.68468,                 1.1934,                 1.6817,                 1.6059,              0.0001901,              0.0001901,              0.0001901
                     95,                 1.2473,                0.83373,                 1.5849,                0.69494,                0.70602,                 0.7441,                  0.644,                 1.2688,                 1.4756,                 1.6125,             0.00018963,             0.00018963,             0.00018963
                     96,                 1.2838,                0.85783,                 1.5921,                0.65597,                0.80125,                0.77197,                 0.6758,                 1.2443,                 1.3839,                 1.6105,             0.00018917,             0.00018917,             0.00018917
                     97,                  1.263,                0.84918,                 1.6021,                0.71817,                0.64988,                0.79211,                0.68896,                 1.2157,                 1.4091,                 1.6082,             0.00018871,             0.00018871,             0.00018871
                     98,                 1.2329,                0.85377,                 1.5945,                0.71597,                0.66251,                0.74994,                0.65797,                 1.2175,                 1.4287,                 1.6115,             0.00018825,             0.00018825,             0.00018825
                     99,                 1.2371,                0.84024,                 1.5914,                0.69646,                0.70719,                0.75532,                0.65489,                 1.2304,                 1.5732,                 1.6096,             0.00018779,             0.00018779,             0.00018779
                    100,                 1.1776,                0.78656,                 1.5968,                  0.764,                0.66823,                0.72858,                0.64073,                 1.1993,                 1.3887,                 1.6076,             0.00018733,             0.00018733,             0.00018733
                    101,                 1.2682,                0.78223,                 1.6045,                0.65798,                0.72766,                0.77051,                0.67141,                 1.2081,                 1.4506,                 1.6094,             0.00018687,             0.00018687,             0.00018687
                    102,                 1.2343,                0.85888,                 1.5871,                0.61637,                0.74594,                0.79972,                0.70115,                 1.2282,                 1.6938,                 1.6077,              0.0001864,              0.0001864,              0.0001864
                    103,                 1.2413,                0.79545,                 1.6061,                0.70717,                0.77629,                0.76401,                0.66773,                 1.2088,                 1.3949,                 1.6114,             0.00018594,             0.00018594,             0.00018594
                    104,                 1.2586,                0.87521,                 1.6107,                0.72284,                0.73199,                  0.764,                0.66292,                 1.2241,                 1.5545,                 1.6057,             0.00018548,             0.00018548,             0.00018548
                    105,                 1.2908,                0.86575,                 1.6152,                0.71334,                0.67889,                 0.7189,                0.62475,                 1.2412,                   1.68,                 1.6105,             0.00018502,             0.00018502,             0.00018502
                    106,                 1.2675,                0.85369,                 1.6054,                0.86226,                 0.6973,                0.80432,                0.70875,                 1.2122,                 1.3299,                 1.6119,             0.00018456,             0.00018456,             0.00018456
                    107,                  1.216,                0.79059,                 1.5991,                0.73773,                0.76379,                0.80754,                0.70503,                 1.2015,                  1.287,                 1.6089,              0.0001841,              0.0001841,              0.0001841
                    108,                 1.1912,                 0.8018,                 1.5871,                0.72952,                0.75008,                0.77059,                0.67464,                  1.175,                 1.4394,                  1.599,             0.00018364,             0.00018364,             0.00018364
                    109,                  1.165,                0.79535,                 1.5914,                0.71499,                0.69844,                0.77108,                0.67655,                 1.1769,                 1.6582,                 1.5939,             0.00018318,             0.00018318,             0.00018318
                    110,                 1.1605,                0.80496,                 1.5967,                0.79653,                0.59975,                0.78632,                0.69043,                 1.1852,                 1.6037,                 1.6041,             0.00018271,             0.00018271,             0.00018271
                    111,                 1.2466,                0.81242,                 1.6181,                0.77113,                0.63311,                0.76132,                 0.6609,                  1.234,                 1.5086,                 1.6105,             0.00018225,             0.00018225,             0.00018225
                    112,                 1.2131,                0.82931,                  1.599,                0.66396,                0.66764,                0.71399,                0.63074,                 1.2016,                 1.6237,                 1.6062,             0.00018179,             0.00018179,             0.00018179
                    113,                 1.1268,                0.77429,                 1.5971,                0.72684,                0.65744,                0.74625,                 0.6617,                 1.1636,                 1.5082,                 1.5956,             0.00018133,             0.00018133,             0.00018133
                    114,                 1.2193,                0.79076,                 1.6192,                0.73584,                0.74278,                0.82758,                0.72101,                 1.1624,                 1.4369,                 1.6021,             0.00018087,             0.00018087,             0.00018087
                    115,                 1.1813,                0.78814,                 1.6087,                0.80917,                0.63233,                0.76385,                0.66855,                 1.1675,                 1.6268,                 1.6047,             0.00018041,             0.00018041,             0.00018041
                    116,                  1.188,                 0.7991,                 1.5897,                0.74386,                0.65127,                0.73797,                 0.6507,                 1.1451,                 1.5133,                 1.5987,             0.00017995,             0.00017995,             0.00017995
                    117,                 1.2061,                0.82054,                 1.6045,                0.77916,                0.72031,                0.77496,                0.67736,                  1.181,                 1.4126,                 1.6037,             0.00017948,             0.00017948,             0.00017948
                    118,                 1.1649,                0.74588,                 1.6066,                 0.7329,                 0.7483,                0.74843,                0.67119,                 1.1473,                 1.4046,                 1.5992,             0.00017902,             0.00017902,             0.00017902
                    119,                 1.1833,                0.81215,                 1.5989,                0.78863,                0.75818,                0.77187,                0.68485,                  1.182,                 1.3243,                 1.6011,             0.00017856,             0.00017856,             0.00017856
                    120,                 1.1528,                0.76285,                 1.5841,                0.70699,                0.70488,                  0.781,                0.69727,                 1.1559,                 1.4057,                  1.599,              0.0001781,              0.0001781,              0.0001781
                    121,                 1.0935,                0.67792,                 1.5993,                0.84073,                0.66936,                0.77446,                0.68551,                 1.1234,                 1.3669,                 1.5911,             0.00017764,             0.00017764,             0.00017764
                    122,                 1.0996,                0.68784,                 1.6183,                0.82646,                0.67992,                 0.7493,                0.66971,                 1.1525,                 1.5023,                 1.5921,             0.00017718,             0.00017718,             0.00017718
                    123,                 1.1477,                0.74169,                 1.5958,                0.80734,                0.73572,                0.78352,                0.68686,                 1.2145,                 1.4602,                  1.607,             0.00017672,             0.00017672,             0.00017672
                    124,                 1.1295,                0.77641,                 1.5968,                0.69124,                0.79439,                0.77984,                0.68047,                 1.1815,                 1.4946,                 1.6003,             0.00017626,             0.00017626,             0.00017626
                    125,                 1.1734,                 0.7495,                 1.6059,                  0.789,                0.65083,                0.68781,                0.59801,                 1.2022,                 1.8104,                 1.6107,             0.00017579,             0.00017579,             0.00017579
                    126,                 1.1559,                0.74554,                 1.6047,                0.77534,                0.71348,                0.74091,                 0.6449,                 1.1731,                  1.469,                 1.6061,             0.00017533,             0.00017533,             0.00017533
                    127,                 1.1299,                0.71988,                 1.6015,                 0.8316,                0.65973,                0.76176,                0.66464,                 1.2197,                 1.4683,                 1.6022,             0.00017487,             0.00017487,             0.00017487
                    128,                 1.1507,                0.74373,                  1.601,                0.80274,                0.64037,                 0.7775,                0.68602,                 1.1556,                 1.4308,                 1.5988,             0.00017441,             0.00017441,             0.00017441
